outlet_name,website,country,disposition
NYT,nytimes.com,United States,Left
CNN,cnn.com,United States,Left
Fox News,foxnews.com,United States,Right
MSN,msn.com,United States,Left
USA Today,usatoday.com,United States,Left
New York Post,nypost.com,United States,Right
Forbes,forbes.com,United States,Centrist
AP News,apnews.com,United States,Left
CNBC,cnbc.com,United States,Left
yahoo,news.yahoo.com,United States,Left
Washington Post,washingtonpost.com,United States,Left
Newsweek,newsweek.com,United States,Right
NBC News,nbcnews.com,United States,Left
CBS News,cbsnews.com,United States,Left
Wall Street Journal,wsj.com,United States,Right
Buzzfeed,buzzfeed.com,United States,Left
ABC News,abcnews.go.com,United States,Left
Business Insider,businessinsider.com,United States,Left
Drudge Report,drudgereport.com,United States,Right
Reuters,reuters.com,United States,Centrist
BBC,bbc.com,United Kingdom,Centrist
Mail Online,dailymail.co.uk,United Kingdom,Right
Mirror,mirror.co.uk,United Kingdom,Left
The Sun,thesun.co.uk,United Kingdom,Right
The Independent,independent.co.uk,United Kingdom,Left
The Guardian,theguardian.com,United Kingdom,Left
Sky News,news.sky.com,United Kingdom,Right
Daily Express,express.co.uk,United Kingdom,Right
The Telegraph,telegraph.co.uk,United Kingdom,Right
ITV,itv.com,United Kingdom,Centrist
Metro,metro.co.uk,United Kingdom,Left
Manchester Evening News,manchestereveningnews.co.uk,United Kingdom,Left
Times,thetimes.co.uk,United Kingdom,Right
The Evening Standard,standard.co.uk,United Kingdom,Centrist
Birmigham Live,birminghammail.co.uk,United Kingdom,Centrist
GB News,gbnews.com,United Kingdom,Right
Radio Times,radiotimes.com,United Kingdom,Centrist
Channel 4,channel4.com,United Kingdom,Left
Daily Record,dailyrecord.co.uk,United Kingdom,Left
CBC (Canadian Broadcasting Corporation),cbc.ca,Canada,Left
CTV News,ctvnews.ca,Canada,Centrist
The Globe and Mail,theglobeandmail.com,Canada,Centrist
ABC News,abc.net.au,Australia,Left
Sky News Australia,skynews.com.au,Australia,Right
Sydney Morning Herald ,smh.com.au,Australia,Left
News.com.au,news.com.au,Australia,Right
RT,rt.com,Other,Right
Al Jazeera,aljazeera.com,Other,Left
IRNA (Islamic Iranian News Agency),en.irna.ir,Other,IRNA
